This_Semester,Height,Gender,Excited_Class,Play_Instrument,Instrument_Type,Fave_Food,Year,Pop_US,Pop_India,State_Country,Car,Haircut,Change,Siblings,Sleep,Prof_Age,Coop,Exercise,Politics,Major,Drink
Y,72,M,2,Y,Guitar,Last,3,350,1000,Massachussetts,Y,20,25,1,6.5,32,N,3,1,Neuro,
Y,69,F,7,Y,Flute,Last,1,300,1000,Maryland,N,20,25,1,8,37,N,0,5,"Politics, Peace",Honest Tea
Y,65,F,8,N,,First,1,300,1000,Florida,N,37,253,2,7,36,N,4,2.5,Anthro,Lemonade
Y,69,M,7,N,,Last,2,100,200,Illinois,N,15,0,3,8,32,N,4,1,Sociology,Cran Apple Juice
Y,63,F,4,N,,Last,2,300,800,New York,N,25,162,2,9,38,Y,0,3,History,Iced Tea
Y,68,F,5,N,,Last,1,1000,1500,New York,N,30,175,1,7.5,35,N,4,3,"Film, Sociology",Bubble Tea
Y,64,F,7,N,,Last,2,350,1000,California,N,72,265,1,5,34,N,0,5,Math,Milk
Y,73,M,7,Y,Piano,First,2,316,1200,Michigan,N,17,23,3,6,30,N,3,2,"Neuro, German",Wheat Beer
Y,62,F,9,Y,Piano,Last,4,380,800,California,N,0,0,2,9,35,Y,4,4,Math,Angry Orchard Ginger
Y,68,?,8.7,Y,Guitar,Last,1,300,600,Pennsylvania,N,115,0,1,7.5,38,Y,6,3.5,Undecided,Fresh Orange Juice
Y,68,F,8,Y,Piano,First,3,3250,3000,Connecticut,N,25,350,2,7,34,N,6,2,Biology,Pina Colada
Y,70,M,7,Y,Piano,Last,2,300,1000,California,N,23,0,1,8,32,N,1,3,Jazz Piano,POG
Y,67,M,5,Y,Piano,Last,2,400,1000,China,N,5,254,0,7,37,N,3,,Neuro,Water
Y,63,F,5,N,,Last,2,300,1000,Colorado,N,40,80,2,7,35,Y,0.5,4,"GSFS, History",Coffee
Y,71,F,2,Y,Piano,Last,1,600,800,Maryland,N,60,0,1,6,42,N,3,3,Econ,Grapefruit Juice
Y,67,F,8,Y,Piano,Last,1,330,1000,Maryland,N,100,0,1,8,35,N,4,3,Biology,White Wine
Y,72,M,6,N,,Last,3,300,1600,New York,N,30,80,0,9,32,N,2,2,Comp Sci,Gin and Tonic
Y,76,M,8,N,,First,4,150,100,Ohio,Y,15,118,2,8,27,N,5,1,ENVS,Budweiser
Y,68,F,6,Y,Violin,Last,2,500,800,Virginia,Y,70,15,1,7,35,N,7,3,"Econ, Politics",Gatorade
Y,69,M,7,N,,Last,1,330,1000,North Carolina,N,20,0,1,7,32,N,6,-3,Biology,Sweet Tea
Y,68,M,5,N,,First,2,600,1000,California,N,20,75,2,4,35,N,4.5,5,"Religion, Econ",Coffee
Y,70,F,6,Y,Viola,First,3,1000,1300,Ohio,N,40,5,1,8,40,Y,7,3,Neuro,Tea
Y,65,F,6,Y,Guitar,First,2,1000,800,Connecticut,N,120,75,1,7,36,N,7,2,Biology,Hot Chocolate
Y,67,F,5,N,,First,4,500,900,New York,N,110,60,1,7,43,N,4,2,English,Tea
Y,68,M,6,Y,Piano,Last,1,100,1000,Canada,N,0,0,1,8,34,N,3,6,Biology,Tea
Y,67,F,7,Y,Piano,Depends,1,300,1000,California,N,30,0,1,6,30,Y,0,3,Physics,Chocolate Milk with Salt
Y,63,F,7,Y,Guitar,Last,1,7,5,California,N,50,5,1,8,32,N,6,0,"ENVS, Econ",Diet Coke
Y,73,M,6,Y,Clarinet,Last,1,310,1000,Massachussetts,N,20,0,2,6,35,N,4,3,Undecided,Cranberry Juice
Y,71.4,M,9,Y,Piano,First,1,360,1200,DC,N,30,0,1,9,32,N,5,-5,Undecided,Water
